Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.1u,
"C11, C3, C5",0603,3,0.1u,C6666325
"C13, C14",CP_Elec_4x5.4,2,1u,C3001203
"C15, C16",CP_Elec_6.3x7.7,2,68u,C5221836
"C2, C4",0603,2,10u,C6666325
"J1, J2",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,2,AudioJack3,
J3,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
"R1, R2",0805,2,33K,
"R3, R4",0805,2,22K,
"R5, R6, R7, R8",0805,4,1K,
RV1,Potentiometer_Alpha_RD902F-40-00D_Dual_Vertical,1,R_Potentiometer_Dual,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,TPA6110A2DGN,C497472
